index,Source Name,local index,variant,humanbinary,GPTbinary
1,py_1700_data.csv,1,1,1,1
2,py_1700_data.csv,2,1,1,1
3,py_1700_data.csv,3,1,1,1
4,py_1700_data.csv,4,1,1,1
5,py_1700_data.csv,5,1,1,1
6,py_1700_data.csv,6,1,1,1
7,py_1700_data.csv,7,1,1,1
8,py_1700_data.csv,8,1,1,1
9,py_1700_data.csv,9,1,1,1
10,py_1700_data.csv,10,1,1,1
11,py_1700_data.csv,11,1,1,1
12,py_1700_data.csv,12,1,1,1
13,py_1700_data.csv,13,1,1,1
14,py_1700_data.csv,14,1,1,1
15,py_1700_data.csv,15,1,1,1
16,py_1700_data.csv,16,1,1,1
17,py_1700_data.csv,17,1,1,1
18,py_1700_data.csv,18,1,1,1
19,py_1700_data.csv,19,1,1,1
20,py_1700_data.csv,20,1,1,1
21,py_1700_data.csv,21,1,1,0
22,py_1700_data.csv,22,1,1,1
23,py_1700_data.csv,23,1,1,1
24,py_1700_data.csv,24,1,1,1
25,py_1700_data.csv,25,1,1,1
26,py_1700_data.csv,26,1,1,1
27,py_1700_data.csv,27,1,1,1
28,py_1700_data.csv,28,1,1,1
29,py_1700_data.csv,29,1,1,1
30,py_1700_data.csv,30,1,1,1
31,py_1700_data.csv,31,1,1,1
32,py_1700_data.csv,32,1,1,1
33,py_1700_data.csv,33,1,1,1
34,py_1700_data.csv,34,1,1,1
35,py_1700_data.csv,35,1,1,1
36,py_1700_data.csv,36,1,1,1
37,py_1700_data.csv,37,1,1,1
38,py_1700_data.csv,38,1,1,1
39,py_1700_data.csv,39,1,1,1
40,py_1700_data.csv,40,1,1,1
41,py_1700_data.csv,41,1,1,1
42,py_1700_data.csv,42,1,1,1
43,py_1700_data.csv,43,1,1,1
44,py_1700_data.csv,44,1,1,1
45,py_1700_data.csv,45,1,1,1
46,py_1700_data.csv,46,1,1,1
47,py_1700_data.csv,47,1,1,1
48,py_1700_data.csv,48,1,1,1
49,py_1700_data.csv,49,1,1,0
50,py_1700_data.csv,50,1,1,1
51,py_1700_data.csv,51,1,1,1
52,py_1700_data.csv,52,1,1,1
53,py_1700_data.csv,53,1,1,1
54,py_1700_data.csv,54,1,1,0
55,py_1700_data.csv,55,1,1,1
56,py_1700_data.csv,56,1,1,1
57,py_1700_data.csv,57,1,1,1
58,py_1700_data.csv,58,1,1,1
59,py_1700_data.csv,59,1,1,1
