index,Source Name,local index,variant,humanbinary,GPTbinary
1,py_1700_data.csv,1,1,1,0
2,py_1700_data.csv,2,1,0,0
3,py_1700_data.csv,3,1,0,0
4,py_1700_data.csv,4,1,1,0
5,py_1700_data.csv,5,1,0,0
6,py_1700_data.csv,6,1,0,0
7,py_1700_data.csv,7,1,0,1
8,py_1700_data.csv,8,1,0,0
9,py_1700_data.csv,9,1,0,0
10,py_1700_data.csv,10,1,0,0
11,py_1700_data.csv,11,1,0,0
12,py_1700_data.csv,12,1,0,0
13,py_1700_data.csv,13,1,0,0
14,py_1700_data.csv,14,1,0,0
15,py_1700_data.csv,15,1,0,1
16,py_1700_data.csv,16,1,0,0
17,py_1700_data.csv,17,1,0,0
18,py_1700_data.csv,18,1,0,0
19,py_1700_data.csv,19,1,0,0
20,py_1700_data.csv,20,1,0,0
21,py_1700_data.csv,21,1,0,0
22,py_1700_data.csv,22,1,0,0
23,py_1700_data.csv,23,1,0,0
24,py_1700_data.csv,24,1,0,0
25,py_1700_data.csv,25,1,0,0
26,py_1700_data.csv,26,1,0,0
27,py_1700_data.csv,27,1,0,1
28,py_1700_data.csv,28,1,0,0
29,py_1700_data.csv,29,1,0,0
30,py_1700_data.csv,30,1,0,0
31,py_1700_data.csv,31,1,0,1
32,py_1700_data.csv,32,1,0,1
33,py_1700_data.csv,33,1,0,0
34,py_1700_data.csv,34,1,0,0
35,py_1700_data.csv,35,1,0,1
36,py_1700_data.csv,36,1,0,0
37,py_1700_data.csv,37,1,0,1
38,py_1700_data.csv,38,1,0,0
39,py_1700_data.csv,39,1,0,0
40,py_1700_data.csv,40,1,0,0
41,py_1700_data.csv,41,1,0,0
42,py_1700_data.csv,42,1,1,0
43,py_1700_data.csv,43,1,0,0
44,py_1700_data.csv,44,1,0,0
45,py_1700_data.csv,45,1,0,0
46,py_1700_data.csv,46,1,0,0
47,py_1700_data.csv,47,1,0,0
48,py_1700_data.csv,48,1,0,0
49,py_1700_data.csv,49,1,1,0
50,py_1700_data.csv,50,1,0,1
51,py_1700_data.csv,51,1,0,0
52,py_1700_data.csv,52,1,0,0
53,py_1700_data.csv,53,1,0,0
54,py_1700_data.csv,54,1,0,0
55,py_1700_data.csv,55,1,0,0
56,py_1700_data.csv,56,1,1,0
57,py_1700_data.csv,57,1,1,0
58,py_1700_data.csv,58,1,0,0
59,py_1700_data.csv,59,1,0,0
60,py_1700_data.csv,60,1,0,0
61,py_1700_data.csv,61,1,0,0
62,py_1700_data.csv,62,1,0,0
63,py_1700_data.csv,63,1,1,0
64,py_1700_data.csv,64,1,0,0
67,py_1700_data.csv,67,1,0,0
69,py_1700_data.csv,69,1,0,0
70,py_1700_data.csv,70,1,0,1
